,0
0,cik
1,reporting_for
2,AllowanceForDoubtfulAccountsReceivable
3,Cash
4,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights
5,CommonStockSharesOutstanding
6,InventoryValuationReserves
7,LeaseAndRentalExpense
8,PreferredStockSharesOutstanding
9,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber
10,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice
11,StockholdersEquity
12,AccountsPayableAndAccruedLiabilitiesCurrent
13,AccountsPayableCurrent
14,AccountsReceivableNetCurrent
15,AccruedProfessionalFeesCurrent
16,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment
17,AdditionalPaidInCapital
18,AdjustmentsToAdditionalPaidInCapitalWarrantIssued
19,AllocatedShareBasedCompensationExpense
20,AllowanceForDoubtfulAccountsReceivableChargeOffs
21,AmortizationOfDebtDiscountPremium
22,AmortizationOfFinancingCosts
23,AmortizationOfIntangibleAssets
24,Assets
25,AssetsCurrent
26,CapitalLeasedAssetsGross
27,CashAndCashEquivalentsPeriodIncreaseDecrease
28,CommonStockParOrStatedValuePerShare
29,CommonStockSharesAuthorized
30,CommonStockValue
31,CostOfRevenue
32,DebtConversionConvertedInstrumentAmount1
33,DebtInstrumentConvertibleBeneficialConversionFeature
34,DeferredCompensationLiabilityCurrent
35,DeferredCostsCurrent
36,DeferredRevenueAndCreditsCurrent
37,DeferredTaxAssetsDeferredIncome
38,DeferredTaxAssetsGross
39,DeferredTaxAssetsLiabilitiesNet
40,DeferredTaxAssetsOperatingLossCarryforwards
41,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost
42,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities
43,DeferredTaxAssetsValuationAllowance
44,DeferredTaxLiabilitiesPropertyPlantAndEquipment
45,Depreciation
46,DepreciationDepletionAndAmortization
47,EarningsPerShareBasic
48,FiniteLivedIntangibleAssetsAccumulatedAmortization
49,FiniteLivedPatentsGross
50,GainLossOnDispositionOfProperty
51,GrossProfit
52,IncomeTaxExpenseBenefitContinuingOperations
53,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance
54,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate
55,IncomeTaxReconciliationOtherAdjustments
56,IncomeTaxReconciliationStateAndLocalIncomeTaxes
57,IncomeTaxesPaid
58,IncreaseDecreaseInAccountsReceivable
59,IncreaseDecreaseInInventories
60,IncreaseDecreaseInOperatingLiabilities
61,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets
62,InterestAndDebtExpense
63,InterestPaid
64,InventoryFinishedGoods
65,InventoryGross
66,InventoryNet
67,InventoryRawMaterials
68,Liabilities
69,LiabilitiesAndStockholdersEquity
70,LongTermNotesPayable
71,MachineryAndEquipmentGross
72,NetCashProvidedByUsedInFinancingActivities
73,NetCashProvidedByUsedInInvestingActivities
74,NetCashProvidedByUsedInOperatingActivities
75,NetIncomeLoss
76,NotesPayable
77,NotesPayableCurrent
78,OperatingCostsAndExpenses
79,OperatingIncomeLoss
80,OtherAccruedLiabilitiesCurrent
81,OtherAssetsNoncurrent
82,OtherNoncashExpense
83,OtherNonoperatingExpense
84,OtherNonoperatingIncomeExpense
85,PaymentsToAcquireMachineryAndEquipment
86,ProceedsFromNotesPayable
87,PropertyPlantAndEquipmentGross
88,PropertyPlantAndEquipmentNet
89,ProvisionForDoubtfulAccounts
90,RepaymentsOfNotesPayable
91,ResearchAndDevelopmentExpense
92,RetainedEarningsAccumulatedDeficit
93,Revenues
94,SellingGeneralAndAdministrativeExpense
95,ShareBasedCompensation
96,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue
97,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate
98,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate
99,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate
100,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsExpirations
101,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsOutstandingNumber
102,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod
103,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod
104,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross
105,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue
106,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue
107,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice
108,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice
109,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice
110,ShareBasedGoodsAndNonemployeeServicesTransactionQuantityOfSecuritiesIssued
111,StockIssuedDuringPeriodSharesIssuedForServices
112,StockIssuedDuringPeriodSharesRestrictedStockAwardForfeited
113,StockIssuedDuringPeriodSharesRestrictedStockAwardGross
114,StockIssuedDuringPeriodValueIssuedForServices
115,StockIssuedDuringPeriodValueRestrictedStockAwardGross
116,ValuationAllowancesAndReservesAdjustments
117,WeightedAverageNumberOfSharesOutstandingBasic
118,BankruptcyClaimsAmountOfClaimsFiled
119,ClassOfWarrantOrRightOutstanding
120,ConversionOfStockAmountConverted1
121,ConversionOfStockSharesConverted1
122,ConversionOfStockSharesIssued1
123,DebtConversionConvertedInstrumentWarrantsOrOptionsIssued1
124,DebtInstrumentInterestRateStatedPercentage
125,DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration
126,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedShareBasedAwardsOtherThanOptions
127,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions
128,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths
129,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive
130,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour
131,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree
132,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo
133,FiniteLivedIntangibleAssetsNet
134,GainLossOnDispositionOfAssets
135,IncomeTaxExaminationPenaltiesAndInterestAccrued
136,LiabilitiesCurrent
137,LiabilitiesSubjectToCompromiseBalanceAtBankruptcyEffectiveDate
138,LiabilitiesSubjectToCompromiseOtherLiabilities
139,PreconfirmationDebtorInPossessionFinancing
140,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant
141,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber
142,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice
143,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1
144,SignificantChangeInUnrecognizedTaxBenefitsIsReasonablyPossibleAmountOfUnrecordedBenefit
145,StockIssuedDuringPeriodSharesOther
146,StockIssuedDuringPeriodValueOther
147,ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights
148,DeferredRevenueCurrent
149,EmployeeRelatedLiabilitiesCurrent
150,IncreaseDecreaseInOtherCurrentLiabilities
151,NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationWarrantsIssued1
152,NondebtorReorganizationItemsNetGainLossOnSettlementOfOtherClaims1
153,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod
154,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice
155,SharesIssued
156,StockIssued1
157,StockIssuedDuringPeriodValueShareBasedCompensation
158,LinesOfCreditCurrent
159,OtherSignificantNoncashTransactionValueOfConsiderationGiven1
160,PaymentsToAcquirePropertyPlantAndEquipment
161,ProceedsFromLinesOfCredit
162,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities
165,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
167,AccountsPayableAndOtherAccruedLiabilitiesCurrent
169,AccruedLiabilitiesAndOtherLiabilities
171,AccruedSalariesCurrentAndNoncurrent
174,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue
176,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount
179,CashAndCashEquivalentsAtCarryingValue
180,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect
183,CommonStockSharesIssued
